OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
NR94,55.6849435,-5.284098,0.026625832,17,0,1,0
NR95,55.70498828,-5.28474428,0.016119004,39,0,1,0
NR96,55.8597753,-5.2415785,0.178045152,20,0,1,0
NR97,55.9123759,-5.253862683,0.407043845,91,2,0.978494624,0.021505376
NR98,56.01700904,-5.287135054,0.460659017,87,0,1,0
NR99,56.10646346,-5.269346729,0.505284241,118,0,1,0
NS02,55.49966401,-5.103388904,0.250149616,115,0,1,0
NS03,55.57686077,-5.139825303,0.173892761,432,0,1,0
NS04,55.65253367,-5.148496235,0.046610054,58,0,1,0
NS06,55.872972,-5.0393005,0.072523291,2,0,1,0
NS07,55.92702032,-5.12832854,0.241188093,74,0,1,0
NS08,56.01878868,-5.169811727,0.49731761,106,0,1,0
NS09,56.11650315,-5.137996656,0.502587072,131,0,1,0
NS15,55.72328467,-4.903418333,0.03563057,1,3,0.25,0.75
NS16,55.87069628,-4.9789805,0.069295453,58,8,0.878787879,0.121212121
NS17,55.9432191,-4.938727649,0.391525693,321,6,0.981651376,0.018348624
NS18,56.02636208,-4.940703913,0.45044691,689,1,0.998550725,0.001449275
NS19,56.12688719,-5.005788254,0.452284672,454,3,0.993435449,0.006564551
NS20,55.33621216,-4.782440017,0.193197788,23,167,0.121052632,0.878947368
NS21,55.36957963,-4.745232297,0.060616839,2,102,0.019230769,0.980769231
NS24,55.68257718,-4.756300533,0.042664935,1,54,0.018181818,0.981818182
NS25,55.76668907,-4.835965867,0.118504346,3,25,0.107142857,0.892857143
NS26,55.81148,-4.85770325,0.036789498,0,5,0,1
NS27,55.94123783,-4.791607167,0.105745983,4,36,0.1,0.9
NS28,56.01912829,-4.804255522,0.173357668,50,285,0.149253731,0.850746269
NS29,56.11014437,-4.837562802,0.282935262,75,21,0.78125,0.21875
NS30,55.3077893,-4.608844261,0.297983353,23,105,0.1796875,0.8203125
NS31,55.4167564,-4.598137652,0.091125636,47,291,0.139053254,0.860946746
NS32,55.47335482,-4.598971697,0.036765705,18,174,0.09375,0.90625
NS33,55.57952184,-4.631455273,0.065214234,7,101,0.064814815,0.935185185
NS34,55.65241985,-4.641162523,0.093882211,1,158,0.006289308,0.993710692
NS35,55.76881165,-4.636149703,0.082475016,1,50,0.019607843,0.980392157
NS36,55.83948259,-4.628465778,0.123074203,0,29,0,1
NS37,55.96336811,-4.634765513,0.099752676,16,133,0.10738255,0.89261745
NS38,56.01592522,-4.608859748,0.234114961,214,710,0.231601732,0.768398268
NS39,56.13239798,-4.625071203,0.201398578,126,22,0.851351351,0.148648649
NS40,55.32857322,-4.458384958,0.278346889,30,51,0.37037037,0.62962963
NS41,55.41887679,-4.492639103,0.236056206,5,25,0.166666667,0.833333333
NS42,55.49130064,-4.43488459,0.078632065,5,228,0.021459227,0.978540773
NS43,55.59911936,-4.428912729,0.047898243,5,97,0.049019608,0.950980392
NS44,55.68373643,-4.50523309,0.115543379,0,85,0,1
NS45,55.76912024,-4.472053364,0.113400857,1,50,0.019607843,0.980392157
NS46,55.84079084,-4.451117862,0.126261841,0,115,0,1
NS47,55.92443424,-4.469899758,0.21642903,10,156,0.060240964,0.939759036
NS48,56.05413502,-4.484547572,0.202660378,244,47,0.838487973,0.161512027
NS49,56.09753707,-4.493034126,0.480460827,349,28,0.925729443,0.074270557
NS50,55.3123364,-4.329079,0.619954905,1044,2,0.998087954,0.001912046
NS51,55.43602539,-4.297882994,0.241557983,6,171,0.033898305,0.966101695
NS52,55.47445241,-4.314032034,0.154387766,8,534,0.014760148,0.985239852
NS53,55.58777527,-4.322888685,0.147867661,4,109,0.03539823,0.96460177
NS54,55.676767,-4.307432,0.456351545,1,0,1,0
NS55,55.77374042,-4.291709,0.0645833,1,149,0.006666667,0.993333333
NS56,55.8670555,-4.308149102,0.064706874,2,534,0.003731343,0.996268657
NS57,55.93185587,-4.328994012,0.186779461,11,257,0.041044776,0.958955224
NS58,56.04301609,-4.357724859,0.164378909,44,128,0.255813953,0.744186047
NS59,56.13099326,-4.34587388,0.342263416,1036,34,0.968224299,0.031775701
NS60,55.33444204,-4.129611038,0.362844221,21,7,0.75,0.25
NS61,55.38535658,-4.168753308,0.117161434,7,92,0.070707071,0.929292929
NS62,55.4888596,-4.1685068,0.133586419,0,6,0,1
NS63,55.57277403,-4.088010167,0.279914257,0,36,0,1
NS64,55.6818398,-4.1013764,0.210004668,1,23,0.041666667,0.958333333
NS65,55.77035564,-4.166333551,0.120713864,1,124,0.008,0.992
NS66,55.852756,-4.186818937,0.105119157,0,152,0,1
NS67,55.93318536,-4.165881487,0.121623425,3,134,0.02189781,0.97810219
NS68,56.05494681,-4.208588211,0.279522954,88,21,0.80733945,0.19266055
NS69,56.12595976,-4.157404792,0.126435046,126,101,0.555066079,0.444933921
NS70,55.34301855,-3.933278273,0.110678626,6,17,0.260869565,0.739130435
NS71,55.39112073,-3.929531429,0.158209619,3,59,0.048387097,0.951612903
NS72,55.52736444,-4.024055333,0.19424903,1,27,0.035714286,0.964285714
NS73,55.6014265,-3.9486005,0.335448703,1,5,0.166666667,0.833333333
NS74,55.68023973,-3.996728212,0.067105307,1,52,0.018867925,0.981132075
NS75,55.77260661,-4.014263605,0.185123083,1,306,0.003257329,0.996742671
NS76,55.85291953,-4.001833736,0.139718097,2,120,0.016393443,0.983606557
NS77,55.95752583,-3.983636947,0.206847214,2,178,0.011111111,0.988888889
NS78,56.05829642,-3.967513014,0.278273626,50,31,0.617283951,0.382716049
NS79,56.1522937,-3.966463528,0.158513647,1227,724,0.628908252,0.371091748
NS80,55.30953363,-3.810859453,0.17839612,83,94,0.468926554,0.531073446
NS81,55.40661971,-3.819900857,0.059451403,15,4,0.789473684,0.210526316
NS82,55.5287679,-3.8471078,0.17346937,1,12,0.076923077,0.923076923
NS83,55.57407692,-3.842871562,0.194732191,1,90,0.010989011,0.989010989
NS84,55.67350053,-3.807753451,0.175714107,8,154,0.049382716,0.950617284
NS85,55.76132755,-3.862974613,0.264271422,2,45,0.042553191,0.957446809
NS86,55.830429,-3.797585,0.203501901,0,3,0,1
NS87,55.98719538,-3.799037548,0.234041795,5,137,0.035211268,0.964788732
NS88,56.03907234,-3.855110338,0.124383296,69,269,0.204142012,0.795857988
NS89,56.14174087,-3.886432568,0.104547794,242,564,0.300248139,0.699751861
NS90,55.3483875,-3.6297775,0.06180748,4,0,1,0
NS91,55.43166888,-3.623499804,0.196366338,57,4,0.93442623,0.06557377
NS92,55.504428,-3.682826714,0.137893512,3,4,0.428571429,0.571428571
NS93,55.575944,-3.652862824,0.149731834,4,16,0.2,0.8
NS94,55.690714,-3.676384,0.104865588,1,10,0.090909091,0.909090909
NS95,55.761079,-3.686420167,0.344822082,1,9,0.1,0.9
