Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
2008,NT61,55.44813557,-2.548211143,0.210184451,4,13,0.235294118,0.764705882
2008,NT63,55.598807,-2.5562,0.09550151,5,0,1,0
2008,NT64,55.733429,-2.589962,0.107793135,1,0,1,0
2008,NT70,55.309916,-2.355230333,0.11216536,4,0,1,0
2008,NT72,55.545554,-2.384287,0.089139988,1,2,0.333333333,0.666666667
2008,NT73,55.5969642,-2.4339848,0.065221546,1,5,0.166666667,0.833333333
2008,NT74,55.71987367,-2.382814333,0.075505144,3,3,0.5,0.5
2008,NT83,55.650055,-2.285202,0.014562672,0,2,0,1
2008,NT84,55.727425,-2.239594,0.05647118,0,2,0,1
2008,NT85,55.7566832,-2.247729,0.061531566,7,0,1,0
2008,NT86,55.8589766,-2.2314494,0.124429903,11,0,1,0
2008,NT95,55.78983188,-2.108413375,0.042318325,0,13,0,1
2008,NT96,55.8714985,-2.128623667,0.042915132,2,4,0.333333333,0.666666667
2008,NW95,54.841185,-5.116978,0.009099889,1,0,1,0
2008,NX05,54.845751,-5.114214,0.041236939,1,0,1,0
2008,NX06,54.93436625,-5.049623333,0.062477216,33,1,0.970588235,0.029411765
2008,NX07,55.028521,-5.032913,0.197325386,0,1,0,1
2008,NX08,55.091036,-4.9953265,0.010723756,1,1,0.5,0.5
2008,NX15,54.88765867,-4.898067333,0.075380297,5,0,1,0
2008,NX16,54.92240933,-4.885991333,0.115113988,13,0,1,0
2008,NX17,55.04927167,-4.919651333,0.228260168,0,3,0,1
2008,NX18,55.11597022,-4.922509,0.231987944,19,2,0.904761905,0.095238095
2008,NX19,55.237898,-4.850611,0.022893955,0,1,0,1
2008,NX25,54.89407933,-4.713019333,0.181324144,5,1,0.833333333,0.166666667
2008,NX26,54.950627,-4.701626667,0.336521613,18,0,1,0
2008,NX27,55.051472,-4.748087,0.616249503,1,0,1,0
2008,NX28,55.11497488,-4.782052875,0.556039455,12,5,0.705882353,0.294117647
2008,NX29,55.215824,-4.714773,0.294215184,3,2,0.6,0.4
2008,NX35,54.865541,-4.534361,0.217631912,1,0,1,0
2008,NX36,54.937034,-4.554471,0.366193472,1,0,1,0
2008,NX37,55.05440733,-4.572360333,0.632355972,4,1,0.8,0.2
2008,NX38,55.1350285,-4.5647545,0.793928548,5,1,0.833333333,0.166666667
2008,NX39,55.229018,-4.604617,0.506481585,1,0,1,0
2008,NX45,54.89450775,-4.36852175,0.080567881,5,2,0.714285714,0.285714286
2008,NX46,54.95787843,-4.452484571,0.343219731,11,0,1,0
2008,NX47,55.010734,-4.377717,0.469662352,1,0,1,0
2008,NX49,55.249496,-4.484794,0.426708638,1,0,1,0
2008,NX55,54.88561183,-4.1962275,0.134667259,18,0,1,0
2008,NX56,54.91966,-4.202243,0.43520934,1,1,0.5,0.5
2008,NX58,55.11300967,-4.209089333,0.472020974,4,7,0.363636364,0.636363636
2008,NX59,55.215287,-4.256276,0.324636103,1,0,1,0
2008,NX64,54.785723,-4.048757,0.04450753,1,0,1,0
2008,NX65,54.8760466,-4.1475158,0.148247655,6,0,1,0
2008,NX66,54.98894275,-4.0833335,0.367524113,6,1,0.857142857,0.142857143
2008,NX67,55.04902462,-4.116145154,0.424266151,17,4,0.80952381,0.19047619
2008,NX75,54.87143575,-3.88303,0.214805214,4,2,0.666666667,0.333333333
2008,NX76,54.96725257,-3.964929714,0.091519175,10,1,0.909090909,0.090909091
2008,NX77,55.05258522,-3.931904222,0.373213324,30,0,1,0
2008,NX79,55.2115092,-3.9371339,0.277366631,21,1,0.954545455,0.045454545
2008,NX85,54.8854896,-3.815284267,0.265408081,44,0,1,0
2008,NX86,54.94719905,-3.821591263,0.199329177,36,1,0.972972973,0.027027027
2008,NX87,55.0709325,-3.813195333,0.135702585,6,2,0.75,0.25
2008,NX88,55.14304145,-3.794565818,0.201279297,17,2,0.894736842,0.105263158
2008,NX89,55.24824419,-3.806736877,0.230895707,22,58,0.275,0.725
2008,NX96,54.98054767,-3.627353,0.415021144,3,0,1,0
2008,NX97,55.06831781,-3.611502871,0.142649637,46,5,0.901960784,0.098039216
2008,NX98,55.15593382,-3.672116765,0.222344366,22,10,0.6875,0.3125
2008,NX99,55.21708175,-3.718735,0.472442108,6,3,0.666666667,0.333333333
2008,NY06,55.0053115,-3.4329035,0.064980545,7,1,0.875,0.125
2008,NY07,55.067712,-3.486830333,0.205055663,2,2,0.5,0.5
2008,NY08,55.14425443,-3.472960143,0.10657543,10,2,0.833333333,0.166666667
2008,NY09,55.21909214,-3.479658286,0.48979246,10,4,0.714285714,0.285714286
2008,NY16,54.99879171,-3.292299,0.064188289,3,4,0.428571429,0.571428571
2008,NY17,55.06087036,-3.368680214,0.149416044,10,6,0.625,0.375
2008,NY18,55.13633543,-3.342124429,0.156486399,11,2,0.846153846,0.153846154
2008,NY19,55.22416733,-3.324425667,0.33099596,10,0,1,0
2008,NY26,54.996322,-3.2278,0.024905466,1,0,1,0
2008,NY27,55.064265,-3.172713,0.139138467,8,1,0.888888889,0.111111111
2008,NY28,55.120919,-3.168898,0.347224876,0,2,0,1
2008,NY29,55.255573,-3.183862,0.600085374,2,0,1,0
2008,NY36,54.995975,-3.074599,0.002929756,1,0,1,0
2008,NY37,55.08752743,-2.987639143,0.092332046,2,7,0.222222222,0.777777778
2008,NY38,55.14617911,-3.012397,0.207263595,14,3,0.823529412,0.176470588
2008,NY47,55.09876233,-2.883023333,0.045237507,5,0,1,0
2008,NY48,55.16058946,-2.822687769,0.231534334,42,4,0.913043478,0.086956522
2008,NY59,55.24797367,-2.742148333,0.395104989,6,0,1,0
2008,NY69,55.234734,-2.588844,0.033537804,2,0,1,0
2009,NH18,57.826982,-5.173388,0.145408254,4,0,1,0
2009,NH19,57.871089,-5.097996,0.118094257,1,0,1,0
2009,NH30,57.070905,-4.803235,0.374431191,1,0,1,0
2009,NH35,57.554852,-4.80197,0.149955179,1,0,1,0
2009,NH36,57.6259365,-4.707272,0.326806746,3,0,1,0
2009,NH42,57.331712,-4.585465,0.28491969,4,0,1,0
2009,NH43,57.335709,-4.565805,0.392145124,2,0,1,0
2009,NH45,57.55958767,-4.559828667,0.373741851,12,0,1,0
