Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover(%)
1984,NT19,Grey,Grey,56.14929467,-3.350975667,3,0.170236278
1984,NT39,Grey,Grey,56.164779,-3.103795,1,0.042853529
1984,NT39,Red,Red,56.1657485,-3.095771,2,0.042853529
1985,NH77,Red,Red,57.731752,-4.142014,1,0.355084661
1985,NJ02,Red,Red,57.30021,-3.652926,2,0.367760037
1985,NJ15,Grey,Grey,57.593972,-3.472991,1,0.466503657
1985,NJ61,Grey,Grey,57.256016,-2.540331,1,0.390690039
1985,NN95,Red,Red,56.710622,-3.765025,6,0.421215582
1985,NN96,Red,Red,56.727543,-3.775625,1,0.114435342
1985,NO21,Grey,Grey,56.29609,-3.186755,1,0.13967205
1985,NO21,Red,Red,56.307391,-3.270347,1,0.13967205
1985,NO30,Red,Red,56.264454,-3.059037,1,0.100008326
1985,NO31,Red,Red,56.322911,-3.05257,1,0.09870466
1985,NO42,Red,Red,56.414009,-2.893004,1,0.220115118
1985,NO66,Red,Red,56.752978,-2.533085,1,0.143553007
1985,NO89,Grey,Grey,57.04583,-2.248849,1,0.163921579
1985,NT19,Grey,Grey,56.144228,-3.362333,1,0.170236278
1985,NT39,Grey,Grey,56.164779,-3.103795,1,0.042853529
1985,NT39,Red,Red,56.1697905,-3.0958855,2,0.042853529
1985,NT68,Red,Red,56.035096,-2.636283,1,0.023854339
1986,NJ02,Red,Red,57.336565,-3.585611,1,0.367760037
1986,NO23,Grey,Grey,56.47018,-3.162152,1,0.177162768
1986,NO24,Red,Red,56.577965,-3.165457,1,0.084138221
1986,NO30,Grey,Grey,56.255191,-3.091063,2,0.100008326
1986,NO32,Red,Red,56.394246,-3.063448,1,0.062492866
1986,NO36,Red,Red,56.749503,-3.07265,1,0.159996286
1986,NO89,Grey,Grey,57.04583,-2.248849,1,0.163921579
1986,NS79,Red,Red,56.174273,-3.938473,1,0.158513647
1986,NT13,Red,Red,55.585766,-3.401623,2,0.157359746
1986,NT39,Grey,Grey,56.164779,-3.103795,1,0.042853529
1986,NT39,Red,Red,56.164779,-3.103795,1,0.042853529
1987,NH89,Red,Red,57.929464,-3.943516,1,0.032315655
1987,NJ03,Red,Red,57.355774,-3.558181,1,0.196655844
1987,NN55,Red,Red,56.691004,-4.353624,1,0.468128324
1987,NN96,Red,Red,56.721258,-3.775329,4,0.114435342
1987,NO24,Red,Red,56.578116,-3.149183,1,0.084138221
1987,NO33,Grey,Grey,56.489293,-3.032813,1,0.106139225
1987,NO34,Red,Red,56.628239,-3.016232,1,0.107557369
1987,NO42,Red,Red,56.382964,-2.835596,1,0.220115118
1987,NO50,Grey,Grey,56.221682,-2.767577,1,0.023904932
1987,NO89,Grey,Grey,57.04583,-2.248849,1,0.163921579
1987,NS49,Red,Red,56.160054,-4.436996,1,0.480460827
1987,NS97,Grey,Grey,55.974993,-3.611176,3,0.14215196
1987,NT39,Red,Red,56.164779,-3.103795,1,0.042853529
1988,NC80,Red,Red,58.019231,-3.948383,1,0.227357823
1988,NH63,Red,Red,57.424545,-4.290594,1,0.463140515
1988,NH72,Red,Red,57.3415,-3.99626,1,0.124643966
1988,NH82,Red,Red,57.340298,-3.987056,1,0.196584236
1988,NH89,Red,Red,57.953219,-4.004795,1,0.032315655
1988,NN31,Grey,Grey,56.271692,-4.688006,1,0.106900279
1988,NN53,Red,Red,56.487244,-4.388094,1,0.179746914
1988,NO30,Grey,Grey,56.246208,-3.090807,2,0.100008326
1988,NO32,Red,Red,56.399856,-3.037681,1,0.062492866
1988,NO33,Red,Red,56.487857,-3.04333,1,0.106139225
1988,NO42,Red,Red,56.426958,-2.903847,1,0.220115118
1988,NO45,Red,Red,56.706902,-2.827248,1,0.094206324
1988,NO55,Red,Red,56.652977,-2.760011,1,0.207330037
1988,NO66,Red,Red,56.788613,-2.599065,1,0.143553007
1988,NO89,Grey,Grey,57.04583,-2.248849,1,0.163921579
1988,NS02,Red,Red,55.511419,-5.081852,1,0.250149616
1988,NS03,Red,Red,55.608906,-5.137146,1,0.173892761
1988,NS99,Red,Red,56.164366,-3.628761,1,0.228417202
1988,NT08,Grey,Grey,56.070242,-3.467353,2,0.078000546
1988,NT18,Grey,Grey,56.09010467,-3.433819667,3,0.087990007
1988,NT39,Grey,Grey,56.164779,-3.103795,1,0.042853529
1989,NH45,Red,Red,57.582053,-4.535535,1,0.373741851
1989,NH52,Red,Red,57.333058,-4.402034,1,0.358523378
1989,NH72,Red,Red,57.298427,-4.076088,1,0.124643966
1989,NH84,Red,Red,57.507401,-3.840057,1,0.350374144
1989,NO24,Red,Red,56.569134,-3.148911,1,0.084138221
1989,NO30,Grey,Grey,56.246208,-3.090807,1,0.100008326
1989,NO42,Red,Red,56.414009,-2.893004,1,0.220115118
1989,NO79,Grey,Grey,57.058784,-2.438538,1,0.391035075
1989,NO89,Grey,Grey,57.04583,-2.248849,1,0.163921579
1989,NR84,Red,Red,55.643422,-5.377564,1,0.173322738
1989,NS75,Grey,Grey,55.794121,-4.050348,1,0.185123083
1989,NS79,Grey,Grey,56.172863,-3.942429,1,0.158513647
1989,NS79,Red,Red,56.174223,-3.941692,1,0.158513647
1989,NT08,Grey,Grey,56.070402,-3.599091,1,0.078000546
1989,NT16,Grey,Grey,55.858613,-3.350721,1,0.098299612
1989,NT18,Grey,Grey,56.0901405,-3.4371695,2,0.087990007
1989,NT26,Grey,Grey,55.903348,-3.24111,1,0.126153088
1989,NT39,Red,Red,56.164779,-3.103795,1,0.042853529
1990,NC80,Red,Red,58.019231,-3.948383,1,0.227357823
1990,NH22,Red,Red,57.282003,-4.904824,1,0.505031182
1990,NH28,Red,Red,57.820246,-4.94802,1,0.017212943
1990,NH30,Red,Red,57.10627,-4.725887,1,0.374431191
1990,NH32,Red,Red,57.285725,-4.73915,1,0.280873369
1990,NH33,Red,Red,57.375449,-4.745841,1,0.312278317
1990,NH34,Red,Red,57.465172,-4.75257,1,0.035756863
1990,NH40,Red,Red,57.10975,-4.560975,1,0.030161686
1990,NH41,Red,Red,57.19949,-4.567188,1,0.420334139
1990,NH43,Red,Red,57.378964,-4.579724,1,0.392145124
1990,NH44,Red,Red,57.468699,-4.586048,1,0.299090156
1990,NH45,Red,Red,57.558432,-4.592409,1,0.373741851
1990,NH47,Red,Red,57.737893,-4.605245,1,0.05139353
1990,NH48,Red,Red,57.827621,-4.61172,1,0.136900388
1990,NH50,Red,Red,57.113012,-4.396026,1,0.007740259
1990,NH51,Red,Red,57.202763,-4.40184,1,0.09456933
1990,NH52,Red,Red,57.292513,-4.407688,1,0.358523378
1990,NH53,Red,Red,57.38226,-4.413571,1,0.417591511
1990,NH54,Red,Red,57.472007,-4.419488,1,0.309971087
1990,NH55,Red,Red,57.561751,-4.425441,1,0.212502391
1990,NH57,Red,Red,57.741235,-4.437452,1,0.339940255
1990,NH60,Red,Red,57.116058,-4.231043,1,0.003481014
1990,NH64,Red,Red,57.475094,-4.252894,1,0.237866924
1990,NH65,Red,Red,57.5804565,-4.277395,2,0.388778881
1990,NH66,Red,Red,57.654603,-4.264014,1,0.259333085
1990,NH67,Red,Red,57.744354,-4.269623,1,0.469276128
1990,NH70,Red,Red,57.118886,-4.066028,1,0.08341286
1990,NH71,Red,Red,57.208657,-4.071043,1,0.012022948
1990,NH72,Red,Red,57.298427,-4.076088,1,0.124643966
1990,NH73,Red,Red,57.39825333,-4.133058,3,0.305945102
1990,NH74,Red,Red,57.477962,-4.086266,1,0.361661226
1990,NH78,Red,Red,57.837012,-4.106987,1,0.234940662
1990,NH79,Red,Red,57.926771,-4.112245,2,0.284927519
1990,NH81,Red,Red,57.211278,-3.9056,1,0.195903381
1990,NH83,Red,Red,57.390834,-3.914911,1,0.126728508
1990,NH84,Red,Red,57.480609,-3.919608,1,0.350374144
1990,NH85,Red,Red,57.570383,-3.924333,1,0.166121959
1990,NH87,Red,Red,57.749927,-3.933868,1,0.052594052
1990,NH90,Red,Red,57.123892,-3.735914,1,0.242609741
1990,NH91,Red,Red,57.21368,-3.740129,1,0.576699584
1990,NH92,Red,Red,57.303467,-3.744369,1,0.360645539
1990,NH95,Red,Red,57.572819,-3.757238,1,0.451913334
1990,NJ00,Red,Red,57.126069,-3.570819,1,0.002140486
1990,NJ01,Red,Red,57.215865,-3.574633,1,0.250164355
1990,NJ02,Red,Red,57.305659,-3.57847,1,0.367760037
1990,NJ03,Red,Red,57.395452,-3.58233,1,0.196655844
1990,NJ04,Red,Red,57.485244,-3.586212,1,0.30954051
1990,NJ05,Red,Red,57.575034,-3.590118,1,0.475231548
1990,NJ06,Red,Red,57.664822,-3.594046,1,0.119632158
1990,NJ10,Red,Red,57.128029,-3.405702,1,0.013441713
1990,NJ11,Red,Red,57.217831,-3.409115,1,0.113378071
1990,NJ12,Red,Red,57.307633,-3.412549,1,0.198277088
1990,NJ13,Red,Red,57.397432,-3.416004,1,0.310360068
1990,NJ14,Red,Red,57.487231,-3.419478,1,0.401773092
1990,NJ16,Red,Red,57.666823,-3.42649,1,0.213015693
1990,NJ20,Red,Red,57.129771,-3.240564,1,0.062236911
1990,NJ21,Red,Red,57.21958,-3.243577,1,0.040141477
1990,NJ22,Red,Red,57.309387,-3.246608,1,0.180855805
1990,NJ24,Red,Red,57.488997,-3.252724,1,0.549167455
1990,NJ25,Red,Red,57.5788,-3.255809,1,0.393981159
1990,NJ30,Red,Red,57.131297,-3.075409,1,0.151631489
1990,NJ31,Red,Red,57.22111,-3.078022,1,0.355215389
